FantasyPoints,Player,Position,Points,Rebounds,Assists,Blocks, Turnovers
20,Jeremy Lamb\lambje01,SG,10.1,4,1.5,0.6,0.6
14,Andre Iguodala\iguodan01,SF,4.4,4,2.3,0.6,1.1
11,Solomon Hill\hillso01,PF,4.5,3,1.1,0.2,0.6
16,Spencer Dinwiddie\dinwisp01,SG,6.7,4,3.0,0.3,1.7
17,Gabriel Deck\deckga01,PF,8.4,4,2.4,0.0,0.6
12,Tony Snell\snellto01,SG,5.3,2,1.3,0.2,0.4
15,Avery Bradley\bradlav01,SG,8.5,2,1.4,0.1,0.9
15,Lou Williams\willilo02,PG,10.0,2,3.4,0.1,1.8
18,Ish Smith\smithis01,PG,6.7,3,3.9,0.3,0.9
11,Jay Scrubb\scrubja01,SG,8.8,4,0.3,0.0,1.8
14,Austin Rivers\riverau01,SG,7.3,2,2.0,0.0,1.0
16,Alex Caruso\carusal01,PG,6.4,3,2.8,0.3,1.3
20,Cody Zeller\zelleco01,C,9.4,7,1.8,0.4,1.1
18,Juan Toscano-Anderson\toscaju01,SG,5.7,4,2.8,0.5,1.2
18,Malik Monk\monkma01,SG,11.7,2,2.1,0.1,1.3
12,Maurice Harkless\harklma01,PF-SF,5.2,2,1.2,0.5,0.6
23,Bobby Portis\portibo01,C,11.4,7,1.1,0.4,0.8
19,Paul Millsap\millspa01,PF,9.0,5,1.8,0.6,0.9
17,Taj Gibson\gibsota01,PF,5.4,6,0.8,1.1,0.5
19,D.J. Augustin\augusdj01,PG,10.6,2,3.9,0.0,1.6
12,Sindarius Thornwell\thornsi01,SG,3.4,2,2.4,0.1,0.4
16,James Johnson\johnsja01,PF,7.2,3,1.9,0.8,1.1
22,Rajon Rondo\rondora01,PG,7.6,3,5.8,0.1,2.2
11,Chasson Randle\randlch01,PG,6.5,2,1.8,0.1,1.1
13,Bismack Biyombo\biyombi01,C,5.0,5,1.2,1.1,1.1
12,Josh Okogie\okogijo01,SG,5.4,3,1.1,0.5,0.7
22,DeMarcus Cousins\couside01,C,9.6,8,2.4,0.7,1.6
15,Sviatoslav Mykhailiuk\mykhasv01,SF-SG,8.5,2,1.7,0.2,1.3
20,DeAnthony Melton\meltode01,PG,9.1,3,2.5,0.6,1.3
17,Damian Jones\jonesda03,C,6.9,4,1.4,1.0,0.9
13,DaQuan Jeffries\jeffrda01,SG,4.9,3,1.2,0.5,0.5
17,Talen Horton-Tucker\hortota01,SG,9.0,3,2.8,0.3,1.6
15,Matisse Thybulle\thybuma01,SG,3.9,2,1.0,1.1,0.5
18,Yogi Ferrell\ferreyo01,PG,9.5,4,2.5,0.5,1.5
8,P.J. Tucker\tuckepj01,PF,2.6,3,0.8,0.1,0.4
16,Kent Bazemore\bazemke01,SF,7.2,3,1.6,0.5,1.2
11,Frank Mason III\masonfr01,PG,6.3,3,3.0,0.0,1.3
13,Khem Birch\birchkh01,C,5.3,5,1.1,0.6,0.5
15,D.J. Augustin\augusdj01,PG,7.7,2,3.3,0.0,1.1
13,Markieff Morris\morrima02,PF,6.7,4,1.2,0.3,0.9
16,Malachi Flynn\flynnma01,PG,7.5,2,2.9,0.1,0.9
12,Damyean Dotson\dotsoda01,SG,6.7,2,2.0,0.1,0.9
19,Dennis Smith Jr.\smithde03,PG,7.3,3,3.7,0.7,1.3
15,Luke Kennard\kennalu01,SG,8.3,2,1.7,0.1,0.8
14,Freddie Gillespie\gillefr01,PF,5.6,5,0.5,1.0,0.6
13,Justise Winslow\winslju01,SF,6.8,4,1.9,0.5,1.4
14,Brad Wanamaker\wanambr01,PG,6.9,2,3.4,0.2,1.5
10,Wesley Matthews\matthwe02,SG,4.8,2,0.9,0.3,0.4
17,Immanuel Quickley\quickim01,PG,11.4,2,2.0,0.2,0.9
18,Jordan Poole\poolejo01,SG,12.0,2,1.9,0.2,1.0
16,Furkan Korkmaz\korkmfu01,SG,9.1,2,1.5,0.2,0.8
15,JaMychal Green\greenja01,PF,8.1,5,0.9,0.4,0.9
14,Bryn Forbes\forbebr01,SG,10.0,2,0.6,0.0,0.6
11,Dante Exum\exumda01,SG,3.8,3,2.2,0.3,1.2
13,D.J. Augustin\augusdj01,PG,6.1,1,3.0,0.0,0.9
14,Dean Wade\wadede01,PF,6.0,3,1.2,0.3,0.5
20,Naz Reid\reidna01,C,11.2,5,1.0,1.1,1.0
15,Payton Pritchard\pritcpa01,SG,7.7,2,1.8,0.1,0.8
14,Jalen McDaniels\mcdanja01,SF,7.4,4,1.1,0.4,1.0
12,Ignas Brazdeikis\brazdig01,SF,7.0,3,1.3,0.2,0.9
15,Robin Lopez\lopezro01,C,9.0,4,0.8,0.6,1.1
8,Rodney Hood\hoodro01,SF,4.7,2,1.2,0.1,0.8
16,Marc Gasol\gasolma01,C,5.0,4,2.1,1.1,1.0
14,DeAndre Bembry\bembrde01,SF,5.7,3,2.1,0.4,1.4
16,Justin Patton\pattoju01,C,5.4,4,1.1,1.1,0.3
14,Kevon Looney\looneke01,C,4.1,5,2.0,0.4,0.6
16,Henry Ellenson\ellenhe01,PF,7.5,6,2.5,0.0,0.0
25,Robert Williams\williro04,C,8.0,7,1.8,1.8,1.0
15,Terance Mann\mannte01,SG,7.0,4,1.6,0.2,0.6
14,Damion Lee\leeda03,SG,6.5,3,1.3,0.1,0.5
11,George Hill\hillge01,PG,6.0,2,1.9,0.2,1.2
12,Al-Farouq Aminu\aminual01,PF,4.4,5,1.3,0.4,1.2
16,Torrey Craig\craigto01,SF,7.2,5,1.0,0.6,0.6
